weather_id,record_datetime,weather_condition,temperature_c,rain_intensity,visibility_level
1,2024-06-16 04:00:00,Cloudy,25.0,0,8
2,2024-03-10 23:00:00,Sunny,27.7,0,10
3,2024-01-22 16:00:00,Cloudy,25.3,0,9
4,2024-06-07 19:00:00,Sunny,31.0,0,8
5,2024-10-13 09:00:00,Cloudy,23.5,0,7
6,2024-07-08 21:00:00,Sunny,27.5,0,10
7,2024-04-18 23:00:00,Foggy,23.2,0,3
8,2024-04-16 03:00:00,Cloudy,25.5,1,8
9,2024-03-10 18:00:00,Sunny,27.1,0,9
10,2024-09-02 01:00:00,Sunny,29.1,0,8
11,2024-01-30 15:00:00,Foggy,19.1,0,5
12,2024-02-23 19:00:00,Cloudy,23.1,0,9
13,2024-02-17 11:00:00,Cloudy,24.5,1,7
14,2024-07-16 13:00:00,Sunny,24.2,0,8
15,2024-09-16 11:00:00,Rainy,15.6,5,2
16,2024-09-06 01:00:00,Sunny,26.9,0,10
17,2024-05-23 00:00:00,Sunny,26.0,0,9
18,2024-12-30 15:00:00,Cloudy,24.6,0,7
19,2024-09-16 00:00:00,Cloudy,22.2,0,9
20,2024-05-29 22:00:00,Sunny,25.2,0,10
21,2024-01-22 21:00:00,Cloudy,26.9,0,7
22,2024-07-01 18:00:00,Foggy,19.5,0,6
23,2024-08-02 19:00:00,Sunny,28.1,0,10
24,2024-09-27 02:00:00,Sunny,25.2,0,9
25,2024-04-07 12:00:00,Foggy,18.9,0,6
26,2024-06-28 08:00:00,Sunny,28.2,0,8
27,2024-09-04 02:00:00,Cloudy,21.7,1,9
28,2024-12-13 20:00:00,Sunny,28.8,0,8
29,2024-04-14 08:00:00,Cloudy,22.8,0,6
30,2024-09-19 16:00:00,Cloudy,23.4,1,6
31,2024-12-27 05:00:00,Sunny,26.8,0,9
32,2024-01-08 20:00:00,Sunny,31.7,0,10
33,2024-08-20 05:00:00,Cloudy,24.0,0,8
34,2024-04-17 23:00:00,Sunny,25.9,0,9
35,2024-12-12 13:00:00,Cloudy,25.6,1,7
36,2024-04-14 08:00:00,Rainy,16.6,6,3
37,2024-12-28 01:00:00,Sunny,28.4,0,8
38,2024-01-14 07:00:00,Rainy,15.1,7,5
39,2024-07-28 22:00:00,Sunny,25.3,0,9
40,2024-02-23 18:00:00,Sunny,28.4,0,8
41,2024-02-17 05:00:00,Sunny,29.5,0,9
42,2024-03-28 15:00:00,Rainy,19.3,10,3
43,2024-12-26 05:00:00,Cloudy,23.8,0,8
44,2024-05-24 14:00:00,Foggy,19.4,0,6
45,2024-09-29 09:00:00,Rainy,16.0,5,4
46,2024-12-19 07:00:00,Rainy,17.6,7,5
47,2024-02-13 17:00:00,Cloudy,23.1,0,7
48,2024-06-06 02:00:00,Sunny,30.1,0,10
49,2024-02-10 04:00:00,Cloudy,24.7,0,6
50,2024-08-13 13:00:00,Sunny,24.5,0,8
51,2024-07-09 02:00:00,Sunny,28.6,0,8
52,2024-11-18 16:00:00,Cloudy,23.2,0,7
53,2024-10-04 21:00:00,Sunny,26.6,0,9
54,2024-10-21 06:00:00,Sunny,29.2,0,8
55,2024-11-14 19:00:00,Sunny,30.1,0,9
56,2024-03-08 04:00:00,Foggy,21.9,0,3
57,2024-08-19 15:00:00,Sunny,26.3,0,10
58,2024-06-18 17:00:00,Foggy,19.4,0,3
59,2024-11-02 06:00:00,Sunny,28.7,0,10
60,2024-07-09 03:00:00,Sunny,30.0,0,8
61,2024-03-07 20:00:00,Cloudy,23.0,0,9
62,2024-01-11 01:00:00,Sunny,27.6,0,10
63,2024-10-04 10:00:00,Rainy,16.8,5,3
64,2024-02-10 00:00:00,Cloudy,21.6,0,9
65,2024-09-23 12:00:00,Sunny,29.6,0,8
66,2024-07-13 17:00:00,Sunny,30.7,0,9
67,2024-05-09 15:00:00,Cloudy,23.9,1,7
68,2024-02-11 14:00:00,Sunny,30.0,0,8
69,2024-11-21 11:00:00,Cloudy,24.7,0,6
70,2024-12-12 16:00:00,Cloudy,22.7,0,6
71,2024-02-16 18:00:00,Sunny,28.7,0,8
72,2024-03-22 20:00:00,Cloudy,27.1,0,9
73,2024-02-25 23:00:00,Rainy,18.9,5,2
74,2024-05-19 10:00:00,Cloudy,27.1,1,8
75,2024-06-30 07:00:00,Cloudy,18.8,1,7
76,2024-07-23 19:00:00,Sunny,29.6,0,10
77,2024-11-08 20:00:00,Cloudy,24.2,0,6
78,2024-05-25 12:00:00,Cloudy,23.4,0,6
79,2024-02-16 23:00:00,Cloudy,24.2,0,8
80,2024-07-13 13:00:00,Foggy,16.0,0,5
81,2024-07-25 12:00:00,Sunny,27.6,0,10
82,2024-03-11 17:00:00,Cloudy,24.7,0,8
83,2024-03-19 19:00:00,Rainy,22.0,4,4
84,2024-07-04 22:00:00,Foggy,19.0,0,4
85,2024-08-22 01:00:00,Sunny,26.4,0,8
86,2024-06-29 05:00:00,Sunny,27.0,0,10
87,2024-03-04 00:00:00,Cloudy,25.8,1,6
88,2024-01-03 10:00:00,Cloudy,24.7,1,6
89,2024-06-27 19:00:00,Sunny,26.9,0,8
90,2024-10-18 23:00:00,Sunny,29.0,0,9
91,2024-04-11 18:00:00,Cloudy,24.2,0,6
92,2024-10-20 09:00:00,Cloudy,25.9,1,7
93,2024-09-05 22:00:00,Sunny,26.6,0,9
94,2024-09-01 06:00:00,Foggy,19.3,0,3
95,2024-03-11 04:00:00,Sunny,27.2,0,8
96,2024-10-04 10:00:00,Sunny,25.1,0,10
97,2024-04-20 22:00:00,Rainy,19.6,4,3
98,2024-01-17 22:00:00,Rainy,19.5,4,5
99,2024-10-08 01:00:00,Sunny,28.0,0,9
100,2024-07-01 03:00:00,Foggy,19.5,0,4
101,2024-03-14 19:00:00,Sunny,25.2,0,10
102,2024-11-17 07:00:00,Sunny,27.2,0,8
103,2024-08-26 16:00:00,Sunny,27.3,0,9
104,2024-06-01 04:00:00,Sunny,26.4,0,8
105,2024-09-29 00:00:00,Sunny,27.7,0,8
106,2024-07-09 13:00:00,Sunny,28.8,0,8
107,2024-09-29 20:00:00,Sunny,31.8,0,10
108,2024-03-19 17:00:00,Cloudy,24.3,1,6
109,2024-05-01 21:00:00,Foggy,20.5,0,5
110,2024-03-15 00:00:00,Cloudy,23.9,1,6
111,2024-10-24 21:00:00,Cloudy,20.2,1,8
112,2024-05-09 18:00:00,Cloudy,23.9,0,9
113,2024-10-24 16:00:00,Sunny,28.1,0,10
114,2024-05-14 12:00:00,Sunny,32.9,0,10
115,2024-08-13 09:00:00,Sunny,27.6,0,8
116,2024-12-12 04:00:00,Cloudy,24.6,0,8
117,2024-08-10 16:00:00,Sunny,27.9,0,9
118,2024-05-10 23:00:00,Cloudy,21.7,1,7
119,2024-07-24 10:00:00,Cloudy,26.3,1,7
120,2024-07-14 20:00:00,Cloudy,25.5,0,8
121,2024-08-07 23:00:00,Sunny,29.6,0,10
122,2024-12-14 23:00:00,Cloudy,22.2,1,7
123,2024-07-12 17:00:00,Cloudy,26.8,0,6
124,2024-06-09 08:00:00,Cloudy,21.2,1,6
125,2024-04-10 14:00:00,Cloudy,25.2,0,7
126,2024-11-20 08:00:00,Sunny,32.4,0,8
127,2024-10-09 22:00:00,Cloudy,22.0,0,9
128,2024-09-19 03:00:00,Foggy,18.9,0,4
129,2024-01-04 18:00:00,Cloudy,24.2,0,7
130,2024-10-17 05:00:00,Foggy,19.0,0,3
131,2024-12-19 14:00:00,Sunny,24.9,0,10
132,2024-11-07 14:00:00,Cloudy,24.1,0,6
133,2024-12-28 14:00:00,Sunny,25.9,0,9
134,2024-12-10 14:00:00,Rainy,19.9,7,5
135,2024-11-20 01:00:00,Cloudy,22.2,1,7
136,2024-12-21 20:00:00,Cloudy,27.1,0,8
137,2024-10-27 06:00:00,Cloudy,22.4,0,8
138,2024-06-09 01:00:00,Sunny,27.4,0,9
139,2024-02-25 00:00:00,Sunny,29.6,0,9
140,2024-09-18 11:00:00,Sunny,25.5,0,8
141,2024-10-10 05:00:00,Cloudy,24.5,0,6
142,2024-02-12 12:00:00,Cloudy,26.6,1,9
143,2024-09-22 21:00:00,Sunny,24.8,0,9
144,2024-11-21 14:00:00,Rainy,19.4,2,5
145,2024-07-22 20:00:00,Sunny,28.5,0,9
146,2024-05-30 13:00:00,Foggy,21.6,0,6
147,2024-11-27 12:00:00,Cloudy,21.5,1,9
148,2024-10-03 00:00:00,Sunny,25.4,0,9
149,2024-12-30 15:00:00,Cloudy,25.0,1,7
150,2024-01-19 12:00:00,Sunny,28.6,0,9
151,2024-04-02 15:00:00,Sunny,28.5,0,9
152,2024-02-04 07:00:00,Foggy,20.7,0,4
153,2024-05-24 11:00:00,Sunny,26.6,0,9
154,2024-07-08 22:00:00,Cloudy,24.5,1,9
155,2024-06-21 05:00:00,Foggy,20.6,0,6
156,2024-01-14 05:00:00,Foggy,18.6,0,6
157,2024-06-02 01:00:00,Cloudy,27.7,0,8
158,2024-06-17 19:00:00,Cloudy,24.9,0,6
159,2024-04-14 00:00:00,Sunny,25.6,0,8
160,2024-03-19 02:00:00,Sunny,29.3,0,9
